address,bed_room_location_privacy,beds,challenging_behaviors,city,funding_type,nursing_support,overnight_supervision,phone_number,physical_accommodations,profile_id,provider,state,type_of_home,typical_staffing_pattern,updated,url
5616 Hillside Court,Upstairs /,4,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Minneapolis,"DD Waiver, CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay",Weekly Visit,Awake,612-999-4400,"Wheelchair, Ramp, Bathroom Hand Rails",5276,Bond Home Care LLC,MN,"SILS, In-Home, Temporary Care",1:2,"Jul 27, 2023",https://mnopenings.org/profile/housing/?profile=5276
9250 25th ST NE,Basement /,2,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Saint Michael,"DD Waiver, CAC, CADI Waiver, TBI, Private Pay, Medical Assistance",On Site,Awake,6512460884,"Wheelchair, Hoyer Lift, Stair Lift, Bathroom Hand Rails",5437,Hope Adult foster care,MN,"CRS/Formerly SLS, Foster Care, SILS, In-Home, Respite",1:1,"Jul 27, 2023",https://mnopenings.org/profile/housing/?profile=5437
"4915 Fillmore St, NE","Main Floor, Upstairs /",5,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Columbia Heights,"CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",Weekly Visit,Awake,612-806-4855,"Hospital Bed, Bathroom Hand Rails",5430,Fardi Homes,MN,"CRS/Formerly SLS, In-Home, Respite, Out of Metro Crisis Bed",1:2,"Jul 27, 2023",https://mnopenings.org/profile/housing/?profile=5430
2502 93rd Trail,"Main Floor, Basement, Upstairs /",1,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Brooklyn park,"CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,763-377-0836,"Hospital Bed, Bathroom Hand Rails",3411,Topcare  Health services LLC,MN,"CRS/Formerly SLS, ICF, Foster Care, SILS",2:4,"Jul 27, 2023",https://mnopenings.org/profile/housing/?profile=3411
9665 Thomas Avenue N,"Main Floor, Basement, Upstairs /",2,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Brooklyn park,"CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,763-377-0836,"Hospital Bed, Bathroom Hand Rails",3617,Topcare  Health services LLC,MN,"CRS/Formerly SLS, ICF, Foster Care, SILS",2:4,"Jul 27, 2023",https://mnopenings.org/profile/housing/?profile=3617
8936 Douglas Drive N,"Basement, Upstairs /",2,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency",Brooklyn park,"CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,763-377-0836,"Hospital Bed, Bathroom Hand Rails",3412,Topcare  Health services LLC,MN,CRS/Formerly SLS,1:3,"Jul 27, 2023",https://mnopenings.org/profile/housing/?profile=3412
7225 KYLE AVENUE N,"Main Floor, Basement /",4,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Positive Support Transition Plan",BROOKLYN CENTER,"CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,763-377-0836,"Ramp, Hospital Bed, Bathroom Hand Rails",4285,Topcare  Health services LLC,MN,CRS/Formerly SLS,2:4,"Jul 27, 2023",https://mnopenings.org/profile/housing/?profile=4285
5460 HELENA RD N,"Main Floor, Basement /",2,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Oakdale,"DD Waiver, CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",Weekly Visit,Awake,6123820770,"Wheelchair, Hoyer Lift, Ramp, Stair Lift, Bathroom Hand Rails",5288,Compassionate Care 18+,MN,"CRS/Formerly SLS, ICF, Foster Care, SILS, In-Home, Respite",1:2,"Jul 27, 2023",https://mnopenings.org/profile/housing/?profile=5288
1020 5th Ave,"Basement, Upstairs /",4,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",South Saint Paul,"CADI Waiver, TBI, Private Pay, Medical Assistance",On Site,Awake,480-298-4517,Bathroom Hand Rails,5217,H&A Assisted Living,MN,"CRS/Formerly SLS, ICF, SILS, In-Home",1:2,"Jul 27, 2023",https://mnopenings.org/profile/housing/?profile=5217
277 Coon Rapids Blvd,"Main Floor, Basement /",2,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Coon Rapids,"DD Waiver, CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Call,Awake,612-888-5040,,4733,Green Lakes Homes,MN,"CRS/Formerly SLS, ICF, SILS, In-Home, Respite, Out of Metro Crisis Bed",1:3,"Jul 27, 2023",https://mnopenings.org/profile/housing/?profile=4733
